SampleID,SubsampleID,Morphology,Percentage
10.1016/j.chemosphere.2020.126493,15.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,16.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,16.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,17.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,17.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,18.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,18.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,19.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,20.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,20.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,21.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,21.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,22.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,22.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,23.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,23.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,23.10.1016/j.chemosphere.2020.126493,sphere,N/A
10.1016/j.chemosphere.2020.126493,24.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,24.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,24.10.1016/j.chemosphere.2020.126493,sphere,N/A
10.1016/j.chemosphere.2020.126493,25.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,25.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,26.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,26.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,26.10.1016/j.chemosphere.2020.126493,sphere,N/A
10.1016/j.chemosphere.2020.126493,27.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,27.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,27.10.1016/j.chemosphere.2020.126493,sphere,N/A
10.1016/j.chemosphere.2020.126493,28.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,28.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,28.10.1016/j.chemosphere.2020.126493,sphere,N/A
10.1016/j.chemosphere.2020.126493,29.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,29.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,29.10.1016/j.chemosphere.2020.126493,sphere,N/A
10.1016/j.chemosphere.2020.126493,30.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,30.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,31.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,31.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,32.10.1016/j.chemosphere.2020.126493,fragment,N/A
10.1016/j.chemosphere.2020.126493,32.10.1016/j.chemosphere.2020.126493,fiber,N/A
10.1016/j.chemosphere.2020.126493,32.10.1016/j.chemosphere.2020.126493,sphere,N/A
